Log 6	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 7	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 8	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 9	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 10	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 11	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude
	8	-20	14632	14632.01586		-32	-8	14552	14552.03738		72	-12	14648	14648.18187		44	40	14724	14724.12008		-52	56	14688	14688.1988		-72	16	14800	14800.18378
	68	88	14692	14692.4209		-36	4	14716	14716.04458		16	96	14812	14812.31974		64	-4	14824	14824.13869		28	8	14620	14620.029		-4	-68	14720	14720.15761
	12	152	14736	14736.7888		-96	12	14744	14744.31741		-108	8	14796	14796.39632		-44	16	14724	14724.07444		-52	36	14724	14724.13583		-44	32	14780	14780.10013
	16	60	14668	14668.13144		40	-48	14648	14648.13326		-44	4	14756	14756.06614		-12	-24	14804	14804.02432		24	20	14728	14728.03313		-36	32	14780	14780.07848
	-20	16	14816	14816.02214		52	8	14744	14744.09387		-56	16	14532	14532.11671		20	16	14620	14620.02244		40	-48	14684	14684.13293		-52	-84	14656	14656.33297
	24	-28	14724	14724.04618		32	20	14792	14792.04813		16	12	14640	14640.01366		-32	24	14612	14612.05475		36	4	14792	14792.04435		-92	24	14788	14788.30565
	12	20	14732	14732.01846		-44	28	14764	14764.09212		-60	40	14728	14728.17653		32	-52	14708	14708.12673		-40	-32	14692	14692.0893		-76	-48	14668	14668.27543
	56	-60	14880	14880.22634		0	-64	14784	14784.13853		4	32	14800	14800.03514		-36	28	14820	14820.07018		-92	-12	14776	14776.29128		-36	40	14740	14740.09824
	0	-100	14828	14828.3372		-28	116	14640	14640.48633		-4	-8	14468	14468.00276		-24	-76	14532	14532.21855		20	-20	14728	14728.02716		20	-128	14788	14788.56748
	-132	-8	14552	14552.60087		-40	8	14608	14608.05695		32	52	14732	14732.12653		-4	124	14784	14784.52055		68	-32	14764	14764.19127		32	28	14760	14760.06125
	-12	68	14620	14620.16306		-20	40	14792	14792.0676		4	-76	14652	14652.19765		-60	-80	14740	14740.33921		-40	36	14728	14728.09832		-84	-92	14688	14688.52831
	-124	-48	14784	14784.59793		0	-16	14744	14744.00868		16	64	14740	14740.14762		72	-12	14604	14604.18241		-100	-28	14644	14644.3682		0	-80	14712	14712.21751
	8	-136	14800	14800.62701		20	-64	14712	14712.1528		16	-48	14592	14592.08772		-120	28	14628	14628.519		-64	-52	14796	14796.22979		40	20	14668	14668.06818
	-12	-48	14672	14672.08342		24	4	14716	14716.02011		-8	112	14872	14872.42388		32	-64	14840	14840.17251		-68	16	14640	14640.16667		-8	-96	14792	14792.31368
	96	-92	14744	14744.59955		-52	88	14716	14716.35498		-68	52	14684	14684.24952		80	56	14768	14768.32286		-40	-12	14720	14720.05924		-96	4	14772	14772.31248
	-12	-48	14692	14692.08331		76	-4	14836	14836.1952		12	-8	14836	14836.00701		-20	-108	14732	14732.40944		28	8	14812	14812.02863		-64	16	14700	14700.14803
	32	-12	14696	14696.03974		-12	36	14592	14592.04934		-48	72	14660	14660.25539		136	0	14776	14776.62587		76	60	14716	14716.31856		-28	64	14740	14740.16554
	44	-44	14704	14704.13166		-48	104	14748	14748.4448		-132	-72	14700	14700.76896		-44	32	14840	14840.09973		-8	20	14736	14736.01574		-60	40	14684	14684.17706
	16	8	14872	14872.01076		96	12	14684	14684.31871		-12	-36	14664	14664.0491		-96	32	14792	14792.34613		-12	12	14664	14664.00982		48	-76	14948	14948.27027
	-72	24	14720	14720.19565		20	-16	14876	14876.02205		8	8	14716	14716.00435		20	-56	14648	14648.1207		-24	-8	14852	14852.02155		120	-28	14752	14752.51463
	28	40	14680	14680.0812		36	-88	14572	14572.31018		-92	-60	14640	14640.41202		68	4	14708	14708.15774		-48	16	14780	14780.0866		64	-24	14668	14668.15926
	0	-60	14636	14636.12298		-56	4	14632	14632.10771		16	0	14800	14800.00865		68	-20	14800	14800.16973		76	36	14620	14620.24186		-32	-4	14704	14704.03536
	8	-40	14728	14728.05649		20	64	14656	14656.15338		124	40	14664	14664.57882		-12	-80	14752	14752.2218		-4	8	14808	14808.0027		32	-84	14688	14688.27505
	4	-48	14776	14776.07851		20	-16	14688	14688.02233		-16	-16	14616	14616.01752		-24	-28	14820	14820.04588		28	-4	14704	14704.0272		96	-32	14880	14880.34408
	24	-64	14772	14772.15814		72	-92	14824	14824.46033		-80	72	14772	14772.39209		16	52	14764	14764.10024		16	-24	14728	14728.02825		4	36	14756	14756.04446
	-88	-116	14624	14624.72482		0	-8	14716	14716.00217		28	-40	14656	14656.08133		-40	-8	14744	14744.05643		80	56	14760	14760.32303		0	-76	14692	14692.19657
	24	32	14612	14612.05475		72	48	14692	14692.25483		-68	80	14732	14732.37415		-12	8	14684	14684.00708		-16	12	14624	14624.01368		-32	28	14672	14672.06161
	-108	-4	14568	14568.40087		44	-32	14668	14668.1009		40	-8	14700	14700.0566		-12	0	14600	14600.00493		68	84	14880	14880.39247		-28	4	14676	14676.02726
	28	-80	14704	14704.24429		-8	-40	14540	14540.05722		-84	68	14680	14680.39781		-32	92	14788	14788.3208		-108	36	14764	14764.4389		-4	-4	14676	14676.00109
	-52	8	14624	14624.09464		-20	80	14780	14780.23004		-96	-8	14772	14772.3141		-40	36	14708	14708.09845		-52	52	14788	14788.18285		56	-4	14704	14704.10718
	-12	56	14880	14880.11021		-40	-100	14676	14676.3952		28	-24	14652	14652.04641		36	20	14508	14508.05845		-36	48	14716	14716.12232		-36	-64	14728	14728.18305
	28	-64	14824	14824.1646		20	20	14644	14644.02731		76	-68	14884	14884.34936		32	36	14712	14712.07885		32	40	14812	14812.08858		12	-16	14668	14668.01364
