Log 0	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 1	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 2	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 3	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 4	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 5	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)
	-89	-32	6						-91	-34	13		-96	-25	3		-93	-39	3		-95	-43	3
	-87	-38	4						-91	-42	7		-90	-19	8		-96	-45	0		-90	-40	11
	-88	-32	4						-91	-36	7		-102	-31	6		-94	8	4		-102	19	0
	-91	-33	4						-92	-37	14		-92	-28	11		-91	15	7		-91	-17	12
	-91	-40	4						-88	-34	12		-96	-42	6		-96	12	3		-20	-478	24
	-89	-35	5						-96	-30	11		-98	-36	-2		-94	-35	-5		-76	-158	8
	-90	-28	10						-89	-33	6		-100	-33	6		-96	-13	3		-88	-91	6
	-89	-33	9						-87	-36	5		-92	-34	3		-92	-47	9		-90	-57	12
	-87	-34	7						-90	-34	9		-95	-38	3		-90	-46	5		-92	17	2
	-96	-34	7						-90	-36	5		-92	-29	1		-90	-20	3		-95	-34	7
	-93	-35	11						-91	-31	7		-96	-24	3		-96	-35	11		-93	-48	10
	-96	-36	4						-89	-31	5		-87	-37	7		-91	-30	8		-88	-48	0
	-91	-36	8						-90	-37	5		-94	-37	2		-92	-35	15		-93	-32	2
	-92	-30	9						-92	-30	3		-91	-24	2		-89	-37	9		-90	-32	0
	-90	-38	9						-87	-36	6		-92	-35	1		-91	-37	5		-97	-19	6
	-89	-36	7						-89	-32	13		-96	-30	10		-91	-30	4		-93	-15	8
	-88	-35	1						-88	-35	14		-93	-33	4		-91	-42	5		-96	-37	6
	-87	-35	6						-92	-35	6		-98	-32	-1		-97	-21	8		-97	-28	9
	-90	-32	9						-90	-31	12		-91	-37	6		-88	-32	5		-94	-38	10
	-93	-34	3						-88	-35	4		-88	-27	7		-97	-53	6		-92	-28	7
	-92	-32	9						-91	-31	10		-93	-32	11		-90	-92	12		-96	-22	8
	-91	-36	10						-90	-30	14		-92	-30	7		-92	-49	8		-89	-45	16
	-91	-35	10						-89	-30	6		-92	-35	1		-88	-36	6		-90	-22	2
	-90	-33	1						-89	-40	7		-98	-39	7		-91	2	-1		-99	-30	9
	-91	-35	10						-94	-30	9		-100	-27	5		-94	-78	10		-94	-29	12
	-91	-33	11						-93	-37	11		-91	-32	5		-85	-41	8		-99	-26	1
	-90	-30	9						-92	-35	9		-94	-42	8		-86	-34	7		-92	-28	5
	-89	-31	8						-90	-34	7		-92	-34	15		-102	-12	9		-95	-31	10
	-89	-36	10						-92	-31	13		-94	-39	8		-92	-46	1		-90	-29	7
	-90	-34	8						-90	-34	7		-93	-33	1		-93	-31	13		-100	-32	9
	-87	-32	-2						-96	-38	4		-93	-30	9		-91	-38	1		-96	-27	8
	-94	-37	0						-90	-32	5		-101	-40	8		-89	-52	12		-91	-36	4
	-92	-29	7						-92	-35	17		-95	-32	4		-90	-44	2		-91	-36	4
	-94	-37	5						-96	-38	5		-92	-42	8		-96	-41	7		-96	-30	7
	-88	-34	5						-90	-35	8		-89	-44	5		-92	-40	15		-94	-34	3
	-88	-32	9						-86	-28	9		-90	-50	0		-97	-25	-1		-92	-28	-1
	-92	-35	8						-92	-37	11		-100	-41	6		-100	-43	9		-96	-40	6
	-92	-32	9						-93	-34	15		-92	-32	4		-93	-64	4		-95	-36	6
	-91	-32	12						-90	-32	4		-92	-38	10		-90	-41	4		-90	-25	13
	-92	-30	5						-94	-35	12		-100	-31	2		-97	7	4		-92	-42	2
	-91	-38	10						-95	-29	9		-93	-19	-2		-97	-21	5		-95	-31	5
	-91	-33	15						-91	-32	10		-98	-41	12		-98	-20	11		-93	-33	10
	-89	-35	7						-90	-31	8		-93	-27	8		-95	-16	7		-93	-37	12
	-91	-35	3						-93	-36	10		-89	-28	11		-95	-51	5		-92	-36	8
	-95	-32	3						-94	-32	8		-100	-32	0		-90	-44	13		-98	-27	2
	-88	-34	11						-91	-30	13		-93	-30	8		-96	-41	10		-98	-33	4
	-88	-32	5						-93	-28	9		-96	-18	8		-92	-18	3		-92	-26	12
	-94	-28	14						-95	-35	6		-89	-34	7		-97	-40	5		-89	-31	8
	-86	-32	10						-93	-31	5		-94	-31	6		-89	-51	2		-92	-36	6
	-86	-33	13						-97	-27	12		-89	-18	15		-84	-101	4		-94	-30	4
	-90	-32	1						-88	-33	7		-91	-57	2		-96	-26	1		-93	-15	6
	-91	-36	14						-92	-34	5		-98	-12	13		-98	81	15		-96	-37	13
	-97	-33	8						-87	-34	10		-88	-23	7		-98	-42	11		-92	-30	6
	-91	-36	2						-88	-33	5		-95	-25	7		-86	-37	7		-98	-39	3
	-86	-35	2						-92	-31	0		-99	-24	8		-97	-32	6		-92	-31	4
	-89	-30	9						-91	-32	7		-92	-39	1		-94	-28	9		-95	-28	10
	-96	-36	11						-88	-32	16		-93	-33	6		-90	-55	6		-93	-42	13
	-91	-33	3						-91	-33	8		-92	-17	7		-86	-22	4		-93	-28	7
	-92	-36	14						-93	-37	3		-93	-34	9		-90	-34	-5		-96	-28	5
	-88	-29	7						-90	-34	12		-91	-33	4		-97	-12	7		-96	-29	1
	-88	-33	5						-93	-37	10		-92	-33	4		-93	-29	12		-98	-32	4
	-91	-33	7						-96	-42	7		-94	-31	8		-93	-36	11		-98	-29	-2
	-84	-33	15						-95	-31	8		-98	-38	9		-94	-25	8		-92	-33	4
	-93	-28	6						-91	-35	13		-94	-32	1		-97	-9	4		-91	-37	6
	-91	-31	7						-90	-30	7		-94	-32	2		-90	-23	10		-97	-36	3
	-94	-28	7						-95	-35	3		-97	-32	6		-86	-82	9		-92	-30	6
	-93	-31	8						-90	-32	3		-89	-30	3		-94	-35	4		-95	-28	4
	-89	-34	4						-93	-34	8		-94	-30	11		-91	-27	11		-94	-20	3
